text,page,total_score,legal_citation,modal_strength,argument_indicator,subject_relevance,word_count,rank,category,importance
"i 
  
TABLE OF CONTENTS  
Page  
TABLE OF AUTHORITIES  .......................................................................................... ii 
INTRODUCTION , INTEREST OF  AMICI CURIAE,  
AND SUMMARY OF ARGUMENT  .............................................................................. 1 
BACKGROUND  ............................................................................................................. 4 
ARGUMENT  .................................................................................................................. 7 
The Public Interest And Equities Support Injunctive Relief Against The FDA’s 
Actions On Mifepristone  ........................................................................................ 7 
A.",2,6.0,0,0,4.5,1,45,1,FDA Actions,High
"They defy 
federal law , flout  the public -interest determinations that States have properly  made, 
and undermine the public interest in the enforcement of validly enacted state laws.",13,6.0,0,2,3.0,1,28,2,Constitutional Authority,High
"Amici emphasize that the FDA’s actions defy  both the agency’s regulations  and 
also federal law s restricting the mailing of abortion  drugs .",14,6.0,0,2,3.0,1,23,3,FDA Actions,High
"“ There is generally 
no public  interest  in the perpetuation of  unlawful  agency action.” Texas v. Biden , 
10 F.4th 538, 560 (5th Cir.",14,6.0,4,2,0.0,0,24,4,General Legal Argument,High
"Last, the FDA ’s actions threaten to 
undermine  the amici States’ enforcement of duly enacted laws  and thus undercut the 
public interest that those laws promote.",9,5.5,0,0,4.5,1,26,5,Constitutional Authority,High
"Because of the serious 
safety concerns involved, the FDA established  a REMS program for mifepristone  in 
2011 with  various “elements to assure safe use,” including  a requirement that the Case 2:22-cv-00223-Z   Document 100   Filed 02/13/23    Page 11 of 26   PageID 3770",11,5.5,0,2,1.5,2,41,6,General Legal Argument,High
"Such enforcement  will be  especially hard in these circumstances , given the 
Administration’s  position that it will not enforce existing federal  restrictions on 
abortion drugs , will treat  state laws as “barriers” to be avoided , and can be expected 
to stymie and defy States’ efforts to enforce their own laws .",23,5.5,0,2,1.5,2,52,7,Constitutional Authority,High
"The Public Interest And Equities Weigh Strongly Against The FDA’s Actions 
Because Those Actions Defy  Federal Law  ....................................................... 8 
B.",2,5.0,0,2,3.0,0,20,8,FDA Actions,High
"ii 
 TABLE OF AUTHORITIES  
Page(s)  
Cases  
Dobbs v. Jackson Women’s Health Organization , 
142 S. Ct. 2228 (2022)  ............................................................ 1, 2, 11, 12, 13, 14, 17   
Gonzales v. Oregon ,  
546 U.S. 243 (2006)  ................................................................................................ 12 
Hillsborough Cnty., Fla. v. Automated Med.",3,5.0,4,0,0.0,1,42,9,Constitutional Authority,High
"Second, the FDA ’s actions defy  the public -interest 
determinations made by the amici States , which are entrusted with balancing the 
policy and equitable considerations in this area.",9,5.0,0,2,3.0,0,29,10,Constitutional Authority,High
